topic1,topic2,topic_distractor,mean_dist1,mean_dist2,mean_size1,mean_size2,topic_1_score,topic_2_score,topic_dis_score,wordcloud_name,sd_dist1,sd_dist2,sd_size1,sd_size2,num1,num2,time
Farm,Visual_Arts,Election,220.814057324213,199.1253934835391,29.5,19.15,5,5,1,farm and tool,82.67856059166488,87.00695802374005,29.5,19.15,40,40,67.017
Winter,Desserts_and_Sweets,Office__Business__and_Workplace,248.2787478967176,199.89345736482264,30.125,18.7,5,5,2,winter cafe,101.90769133817187,82.4403443010622,30.125,18.7,40,40,46.949
Science,Metals_and_Alloys,Cooking_Terms,255.3502440467715,169.8705547169331,29.15,19.85,5,2,2,medicine and biology,81.87587730192962,80.949848699055,29.15,19.85,40,40,17.158
Sports,Camping,Stores_and_Public_Buildings,230.9154641785322,185.55088444817684,28.65,19.475,5,5,2,"sports, nature",92.52243364754806,87.1446078818502,28.65,19.475,40,40,14.517
Vegetables_and_Legumes,Bathroom,Human_Body,221.047422058,212.409904836,28.35,19.7,3,3,3,food,88.1415629922,83.4293343531,28.35,19.7,40,40,7.108
Time,Happiness_Related,Monsters_and_Mythical_Beasts_—,247.418146547,238.82068134,28.95,20.85,5,1,1,time,87.3177655266,95.0409813658,28.95,20.85,40,40,4.956
Sports,Weather,Fruit,262.039535631,178.802249503,30.45,18.95,5,1,1,sport,75.4449300427,97.5330922621,30.45,18.95,40,40,4.992
