turker_id,clicked_word,correct_word,wrong_word,distance_between_targets,time,correct_word_fontsize,wrong_word_fontsize,correct_word_width,wrong_word_width,correct_word_height,wrong_word_height,correct_word_x,wrong_word_x,correct_word_y,wrong_word_y
muyang,warren,warren,across,99.84418058255828,1.038,21,20,69.2813,65.9844,24,23,21.956649999999968,-22.323800000000006,-44.74400000000003,44.74400000000003
ea,oeuvre,oeuvre,accuse,99.96696084108244,2.768,21,20,69.2813,65.9844,24,23,4.398649999999975,-4.765800000000013,49.773000000000025,-49.773000000000025
muyang,swears,swears,nausea,200.2346697018339,1.668,21,20,69.2813,65.9844,24,23,-66.95535000000001,66.58820000000003,74.59899999999999,-74.59900000000005
ea,nuance,nuance,warner,200.34608504036837,1.655,21,20,69.2813,65.9844,24,23,-99.03735,98.67020000000002,16.204000000000008,-16.204000000000008
muyang,verses,amazes,verses,299.9556267183573,2.026,21,20,69.2813,65.9844,24,23,18.827650000000062,-19.194799999999987,-148.76800000000003,148.76799999999997
muyang,movers,answer,movers,400.2212654619973,1.219,21,20,69.2813,65.9844,24,23,-126.31234999999998,125.9452,155.35700000000003,-155.35699999999997
muyang,answer,oscars,answer,500.12421829661736,1.013,21,20,69.2813,65.9844,24,23,-88.74635,88.37919999999997,233.854,-233.85400000000004
muyang,excess,excess,unseen,600.1263657475836,1.998,21,20,69.2813,65.9844,24,23,-108.46935000000002,108.10220000000004,-279.84299999999996,279.84299999999996
muyang,serves,serves,warmer,99.84332085183507,1.04,22,20,72.5781,65.9844,26,23,-26.348949999999945,26.630199999999945,-42.313999999999965,42.31400000000002
muyang,manson,manson,romero,200.00724725999925,1.044,22,20,72.5781,65.9844,26,23,2.4480499999999665,-2.1667999999999665,99.97699999999998,-99.97699999999998
ea,season,warren,season,299.94386728153404,12.464,21,20,69.2813,65.9844,24,23,23.798650000000066,-24.16579999999999,148.04199999999997,-148.04200000000003
muyang,acumen,acumen,marcos,299.755707242285,1.25,22,20,72.5781,65.9844,26,23,-123.40494999999999,123.68520000000001,-84.85199999999998,84.85199999999998
muyang,marrow,marrow,secure,399.9111219757741,1.154,22,20,72.5781,65.9844,26,23,-59.55094999999994,59.83220000000006,-190.83799999999997,190.83800000000002
muyang,racers,racers,warren,500.0485400765835,1.21,22,20,72.5781,65.9844,26,23,40.86104999999998,-40.57979999999998,-246.68600000000004,246.68600000000004
muyang,aurora,aurora,wearer,600.2278412324129,1.152,22,20,72.5781,65.9844,26,23,230.63805000000002,-230.35680000000002,192.19600000000003,-192.19600000000003
muyang,racers,racers,narrow,100.03439412167198,0.835,23,20,75.875,65.9844,27,23,-32.03649999999999,31.966199999999958,38.44,-38.440000000000055
muyang,summon,summon,verses,199.95311040764034,0.809,23,20,75.875,65.9844,27,23,85.34550000000002,-85.41579999999999,-52.01400000000001,52.01400000000001
muyang,masses,masses,menace,300.01112061336994,1.093,23,20,75.875,65.9844,27,23,-30.079499999999996,30.009199999999964,146.966,-146.966
muyang,scenes,scenes,errors,399.98300748868076,0.835,23,20,75.875,65.9844,27,23,59.06050000000005,-59.13080000000002,-191.06100000000004,191.06099999999998
muyang,scarce,scarce,owners,499.9723302972776,1.01,23,20,75.875,65.9844,27,23,121.74649999999997,-121.81680000000006,-218.31799999999998,218.31799999999998
muyang,crowns,crowns,arenas,600.0403599633028,1.285,23,20,75.875,65.9844,27,23,-223.5885,223.51819999999998,-200.09000000000003,200.08999999999997
muyang,crowns,crowns,warsaw,100.07399344165293,0.847,22,21,72.5781,69.2813,26,24,5.82204999999999,-5.892350000000022,-49.692999999999984,49.692999999999984
muyang,concur,concur,unseen,200.27991047171957,0.858,22,21,72.5781,69.2813,26,24,43.23905000000002,-43.309349999999995,-90.30700000000002,90.30700000000002
muyang,scores,scores,suarez,299.7659513476473,1.024,22,21,72.5781,69.2813,26,24,-54.08794999999998,54.01765,-139.79700000000003,139.79700000000003
muyang,creams,museum,creams,399.51934545821445,1.623,22,21,72.5781,69.2813,26,24,-147.89795000000004,147.82765000000006,134.315,-134.31500000000005
muyang,marcos,marcos,sesame,499.8785003419932,1.041,22,21,72.5781,69.2813,26,24,-46.38495,46.31465000000003,245.60400000000004,-245.60400000000004
muyang,masses,masses,common,599.5407333105567,1.133,22,21,72.5781,69.2813,26,24,-212.33595000000003,212.26565000000005,-211.63800000000003,211.63799999999998
muyang,narrow,narrow,moscow,100.09753398022606,0.81,23,21,75.875,69.2813,27,24,16.282500000000027,-16.704350000000034,-47.25300000000004,47.252999999999986
muyang,eraser,eraser,vacuum,199.80524018634372,0.898,23,21,75.875,69.2813,27,24,-65.9325,65.51065000000006,-75.24099999999999,75.24099999999999
muyang,eraser,eraser,cancer,299.7824656345373,0.934,23,21,75.875,69.2813,27,24,-110.1325,109.7106500000001,-101.90499999999997,101.90499999999997
muyang,weaves,weaves,nearer,400.06485485696254,0.991,23,21,75.875,69.2813,27,24,43.164499999999975,-43.58634999999998,-195.27300000000002,195.27300000000002
muyang,warmer,warmer,eraser,499.7526174519975,0.939,23,21,75.875,69.2813,27,24,-207.8195,207.39765,-139.05700000000002,139.05700000000002
muyang,sununu,sununu,manson,599.7199540029685,1.074,23,21,75.875,69.2813,27,24,-283.0315,282.6096500000001,-99.64200000000005,99.642
ea,across,across,maroon,399.67261576220426,51.406,21,20,69.2813,65.9844,24,23,185.9466500000001,-186.31380000000001,-72.73299999999995,72.733
muyang,venues,venues,census,100.02657138425774,0.733,24,21,79.1719,69.2813,28,24,-24.39504999999997,23.621650000000045,-43.874000000000024,43.874000000000024
