topic1,topic2,topic_distractor,mean_dist1,mean_dist2,mean_size1,mean_size2,topic_1_score,topic_2_score,topic_dis_score,wordcloud_name,sd_dist1,sd_dist2,sd_size1,sd_size2,num1,num2,time
Vehicles_and_Transportation,Herbs_and_Spices,Bodies_of_Water,265.9448994716311,251.54438971280553,25.475,24.05,5,3,2,transport,79.79102062159394,93.18414704431436,25.475,24.05,40,40,6.918
Vacation,World_Languages,Roadways,259.22958169667567,215.92220926363075,25.775,24.575,5,3,3,travel,71.2121979911732,100.03602442505222,25.775,24.575,40,40,19.591
Cooking_Tools,Geography,Types_of_Shoes__,250.22481322417667,262.8429127754287,24.4,23.725,5,5,1,kitchen,92.33170253172769,106.02268116989525,24.4,23.725,40,40,22.2
Weights_and_Measures,Ways_to_say_Happy,Amphibian,223.9248901647471,271.61002033141284,24.0,23.825,5,4,2,"emotion, math",93.13369111530916,72.81037933308663,24.0,23.825,40,40,28.691
Kitchen,Computer,Virtues,229.07049158978492,228.61932724961002,22.55,23.35,5,5,2,"technology, food",101.88137616760474,77.73153306556003,22.55,23.35,40,40,21.027
Sewing,Food,Farm,241.283057565,220.885602108,24.975,22.275,5,2,2,supply,74.8436766169,81.4777902924,24.975,22.275,40,40,210.036
Furniture,Feelings_and_Emotions,Stores_and_Public_Buildings,254.000922271,246.313224531,23.3,25.525,5,4,1,furniture,81.8345068219,86.1934912895,23.3,25.525,40,40,11.952
