turker_id,time,distance_between_targets,question_index,sizediff,accuracy,clicked_x,clicked_y,index_of_difficulty
yiqing,2.231,600,36,3,1,-211.731,212.882,3.87474
yiqing,2.512,100,37,1,1,-49.479,-9.624,0.207943
yiqing,1.361,200,38,1,1,96.7858,24.541,1.18978
yiqing,2.237,300,39,1,1,-6.9783,149.841,3.36927
yiqing,1.807,400,40,1,1,-166.836,110.404,2.92825
yiqing,1.807,400,40,1,1,-166.836,110.404,2.92825
yiqing,1.82,600,42,1,1,136.903,-266.72,4.20215
yiqing,2.298,100,43,2,0,-4.02095,49.873,1.7812
yiqing,1.741,200,44,2,1,-79.1378,61.143,2.07604
yiqing,3.219,300,45,2,1,10.1254,-149.657,3.36754
yiqing,1.648,400,46,2,1,83.7855,181.748,3.64687
yiqing,2.22,500,47,2,0,182.422,170.936,3.55937
yiqing,1.668,600,48,2,0,-47.792,296.142,4.35229
yiqing,1.058,100,49,3,1,0.7163,49.994,1.78573
yiqing,1.362,200,50,3,0,83.8536,-54.831,1.91621
yiqing,1.355,300,51,3,1,33.0316,146.341,3.33499
yiqing,1.355,300,51,3,1,33.0316,146.341,3.33499
yiqing,0.006,500,53,3,1,209.268,-137.036,3.2396
yiqing,0.006,500,53,3,1,209.268,-137.036,3.2396
ea3,2.274,400,1,3,0,89.1352,-179.035,3.62614
ea3,8.831,500,2,2,1,-71.27,239.54,4.04662
ea3,3.085,100,3,1,1,31.2265,39,1.42855
ea3,20.007,400,4,1,1,21.4865,198.836,3.7775
ea3,3.519,400,5,3,1,-0.34005,200,3.78587
ea3,1.325,300,6,3,0,-92.6893,118.217,3.02518
ea3,1.357,200,7,1,0,-22.1593,97.595,2.74961
ea3,1.898,500,8,1,1,-1.84335,249.996,4.10776
ea3,5.756,300,9,3,1,94.8802,116.377,3.00321
ea3,89.545,300,10,3,1,36.8335,145.392,3.32597
test,1.335,400,1,1,1,-191.559,58.673,2.17005
test,1.356,500,2,3,1,-175.376,-177.928,3.61815
test,1.328,100,3,3,1,4.5195,49.79,1.77996
yiping,14.205,400,1,3,1,-43.3364,195.245,3.75119
yiping,5.529,100,2,1,0,-18.0725,46.659,1.68504
yiping,4.46,400,3,2,1,-129.229,-152.364,3.39493
yiping,1.905,100,4,1,1,49.6883,-8.441,0.841974
yiping,2.887,300,5,3,1,-116.308,94.944,2.70968
yiping,1.763,400,6,2,0,162.951,115.311,2.99412
yiping,3.503,600,7,1,1,-287.856,83.986,3.38853
yiping,2.123,200,8,1,0,28.5074,95.883,2.72477
yiping,1.963,300,9,1,1,-56.876,138.712,3.25874
yiping,1.595,400,10,3,1,186.416,73.605,2.75799
yiping,2.997,600,11,3,1,244.376,-173.904,3.58447
yiping,1.781,300,12,1,0,-22.7565,148.298,3.35405
yiping,3.42,300,13,2,1,107.121,-104.737,2.85442
yiping,3.118,100,14,1,0,-38.6293,-31.831,1.13281
yiping,3.678,500,15,1,0,-10.9361,249.751,4.10642
yiping,2.214,200,16,3,0,7.1102,99.781,2.78222
yiping,1.611,500,17,3,0,-39.2369,246.929,4.08982
yiping,1.599,200,18,1,1,-88.7904,45.242,1.696
yiping,1.391,400,19,3,1,158.248,121.844,3.07292
yiping,2.379,500,20,2,1,-157.875,-194.117,3.74158
yiping,1.981,200,21,3,1,-38.5187,-92.15,2.66971
yiping,1.201,400,22,2,1,156.469,124.146,3.09981
yiping,1.4,600,23,2,1,276.532,117.206,3.32828
yiping,1.92,600,24,3,0,-115.472,276.854,4.25515
yiping,1.841,600,25,1,1,229.638,192.766,3.73359
yiping,1.802,500,26,3,0,64.1411,241.586,4.05867
yiping,1.86,600,27,1,1,-1.9644,299.993,4.37081
yiping,2.059,200,28,2,0,44.1369,89.508,2.62887
yiping,1.694,500,29,2,1,-173.006,180.909,3.63931
yiping,1.544,200,30,2,1,-54.1922,84.143,2.53558
yiping,2.833,200,31,1,0,-85.0679,52.708,1.86091
yiping,1.852,400,32,1,1,-194.687,46.156,2.82305
yiping,1.977,200,33,3,0,-17.5685,98.426,2.76325
yiping,1.183,100,34,2,1,-49.5895,8.96,0.839323
yiping,1.43,100,35,3,1,22.946,-44.424,1.61528
yiping,1.43,100,35,3,1,22.946,-44.424,1.61528
yiping,1.43,100,35,3,1,22.946,-44.424,1.61528
yiping,1.43,100,35,3,1,22.946,-44.424,1.61528
liiii,5.151,200,1,2,0,17.6936,98.3074,2.77956
liiii,5.12,400,2,3,1,47.447,194.231,3.7496
liiii,1.629,100,3,1,0,-16.4895,-47.3721,1.70891
liiii,2.128,300,4,1,0,126.19,-80.7357,2.48455
liiii,29.795,600,5,2,0,-280.913,105.796,2.87186
liiii,1.284,100,6,3,1,37.3853,-32.8359,1.19176
liiii,6.163,600,7,3,1,94.7023,-284.914,4.27876
liiii,4.638,600,8,2,1,-134.671,-267.945,4.19188
liiii,1.567,200,9,3,1,53.4632,-84.5146,2.52659
liiii,1.861,200,10,3,1,62.5413,77.8778,2.41038
liiii,2.366,500,11,3,1,-125.07,-216.343,3.88332
liiii,2.134,600,12,1,1,260.518,149.918,3.3508
liiii,1.495,100,13,3,0,-50.3634,-3.7845,0.230875
liiii,2.333,600,14,2,0,220.967,-202.359,3.78811
liiii,2.62,600,15,3,1,163.697,-251.191,4.09903
liiii,2.711,600,16,3,1,-146.887,261.565,4.15662
liiii,4.123,300,17,2,0,42.8335,143.997,3.29319
liiii,10.91,300,18,3,0,41.1334,144.484,3.29813
liiii,1.886,100,19,1,0,45.4115,-19.7865,0.445457
liiii,4.537,500,20,1,1,165.138,188.062,3.67901
liiii,2.197,200,21,1,1,14.192,99.1441,2.75476
liiii,2.605,300,22,3,0,78.8762,127.879,3.12178
liiii,3.003,200,23,1,0,40.7085,-91.1115,2.63809
liiii,3.459,300,24,2,1,78.8892,-127.647,3.121
liiii,3.926,200,25,2,1,-91.654,40.3201,1.45708
liiii,5.143,600,26,1,0,-110.877,278.562,4.24827
liiii,4.4,100,27,2,1,-4.55195,-49.6319,1.76335
liiii,1.726,200,28,2,1,71.9651,-69.6234,2.24513
liiii,3.511,300,29,2,0,-148.805,16.5476,1.81103
liiii,1.936,400,30,1,1,59.593,-190.727,3.7022
liiii,4.533,600,31,1,1,129.416,270.784,4.20595
liiii,5.641,500,32,2,1,107.873,225.35,3.94249
liiii,3.556,400,33,1,1,-53.9729,-192.386,3.71474
liiii,2.468,400,34,2,1,-44.0709,-194.933,3.73343
liiii,38.553,400,35,3,0,-111.588,165.891,3.50013
liiii,5.827,500,36,3,0,-120.545,-218.746,3.90002
liiii,7.689,100,37,3,1,-4.8172,49.5363,1.7626
liiii,1.504,100,38,1,0,47.2715,-17.965,0.276291
liiii,3.589,500,39,2,1,115.198,222.14,3.91951
liiii,2.578,500,40,3,0,202.438,-147.506,3.3274
liiii,3.059,400,41,3,1,117.854,161.703,3.46206
liiii,2.154,400,42,1,1,72.8985,-186.432,3.66676
liiii,3.781,300,43,3,0,93.5585,116.84,2.99698
liiii,4.522,500,44,1,1,-90.6886,232.78,3.98938
liiii,2.645,400,45,2,1,-6.74685,-199.765,3.76857
liiii,2.598,400,46,2,1,125.463,155.603,3.4081
liiii,4.261,100,47,2,1,-49.5658,3.8786,0.230534
liiii,3.156,300,48,1,1,136.686,-63.1049,2.09993
liiii,2.104,500,49,2,1,238.002,-76.1358,2.48658
liiii,2.267,500,50,1,1,-31.8769,-247.802,4.07948
liiii,1.613,200,51,3,1,5.82305,-99.6599,2.76693
liiii,3.186,300,52,1,1,138.783,-56.5779,1.94892
liiii,3.129,100,53,2,0,-17.3708,-46.6654,1.67578
liiii,2.545,200,54,1,1,28.0352,-95.9634,2.71031
David White,11.272,200,1,2,0,1.9,-99.983,2.73671
David White,2.286,200,2,2,0,-3.45,-99.933,2.73611
David White,2.139,600,3,1,1,122.117,274.017,4.19125
David White,1.39,500,4,3,0,126.667,215.533,3.84489
David White,1.846,300,5,1,1,-26.8,-147.583,3.29852
David White,1.165,300,6,3,1,26.017,-147.733,3.2999
David White,1.529,500,7,2,0,236.217,-81.85,2.9298
David White,1.416,500,8,2,1,-161.433,-190.883,3.66969
David White,1.084,100,9,3,1,-30.333,-39.75,1.40595
David White,1.035,300,10,2,1,-43.167,-143.65,3.25956
David White,1.271,400,11,1,1,-55.117,-192.25,3.67999
David White,1.203,400,12,1,0,-183.65,-79.217,2.56657
David White,0.928,100,13,3,1,2.717,-49.933,1.73483
David White,1.409,500,14,3,1,-202.633,146.433,3.28717
David White,2.059,100,15,1,0,43.367,-24.883,0.730238
Hiro,5.092,500,1,2,1,58.9965,-242.924,4.0418
David White,1.551,600,16,3,1,27.517,298.733,4.31583
David White,1.023,200,17,1,0,42.917,-90.317,2.59011
Hiro,1.68,400,2,2,1,35.743,-196.492,3.73773
David White,0.94,100,18,2,1,20.533,-45.583,1.6037
David White,1.665,300,19,2,0,82.517,-125.267,3.06194
David White,1.164,400,20,2,1,6.95,-199.883,3.73609
Hiro,5.049,400,3,3,1,-54.299,192.464,3.70597
David White,1.376,300,21,3,1,80.1,126.817,3.07976
David White,2.164,600,22,2,0,75.05,290.467,4.27531
Hiro,3.388,100,4,1,0,19.587,-45.664,1.63939
David White,1.369,500,23,3,0,-152.55,-198.067,3.72293
David White,1.142,200,24,3,0,28.067,-95.983,2.67778
David White,1.002,100,25,3,0,-25.833,-42.817,1.51304
Hiro,6.239,200,5,1,0,70.2103,-70.946,2.26869
David White,1.07,200,26,1,1,39.917,91.683,2.61175
David White,1.348,400,27,3,1,-73.933,185.833,3.63097
Hiro,1.317,300,6,1,1,-52.0265,140.712,3.25375
David White,1.204,600,28,2,0,166.25,249.717,4.05728
David White,0.986,100,29,1,1,42.917,-25.65,0.774056
Hiro,2.758,500,7,1,1,-169.639,183.696,3.63829
David White,1.657,600,30,1,1,120.2,-274.867,4.1957
Milena Silva,2.838,600,1,3,1,-76.7664,-289.985,4.32198
Hiro,1.49,600,8,3,1,213.562,-210.628,3.83613
David White,2.57,300,31,1,1,-76.417,129.083,3.1052
Rob,3.769,300,1,3,1,-52.2403,-140.811,3.27782
Milena Silva,1.118,100,2,3,1,-46.1815,-18.173,0.758643
David White,1.124,100,32,2,1,-42.883,25.7,0.776967
Hiro,2.48,300,9,1,1,-120.336,90.084,2.60749
David White,1.191,100,33,1,1,38.067,-32.417,1.1118
David White,1.091,600,34,2,0,275.783,118.083,3.15319
Milena Silva,1.391,600,3,2,0,-282.246,102.942,3.35737
Hiro,3.615,600,10,1,1,207.457,216.841,3.87738
David White,1.201,200,35,2,1,-7.067,-99.75,2.73335
Rob,3.446,100,2,1,0,-7.51816,49.4837,1.76941
David White,0.978,100,36,2,1,27.267,-41.917,1.48242
Milena Silva,1.133,100,4,2,1,-31.0916,-39.17,1.43341
Hiro,2.014,400,11,3,1,-187.427,69.4,2.23521
David White,1.767,500,37,1,0,-80,236.85,3.98096
Hiro,1.556,100,12,1,1,15.559,-47.198,1.6868
Milena Silva,2.553,600,5,1,0,124.324,-273.137,4.23502
David White,1.34,400,38,2,1,78.95,183.767,3.61478
David White,0.953,200,39,3,1,-11.45,99.35,2.72745
David White,1.062,400,40,3,1,131.8,150.433,3.32606
David White,1.332,400,41,1,1,110.367,-166.8,3.47503
David White,1.368,500,42,1,0,-66.217,241.067,4.00642
David White,1.199,500,43,2,1,92.55,232.233,3.95257
Milena Silva,2.016,500,6,1,0,-13.778,-249.634,4.10561
David White,1.094,300,44,2,1,-20.7,148.567,3.30806
Milena Silva,1.619,500,7,3,1,-56.799,-243.54,4.0696
David White,1.536,600,45,3,1,107.85,-279.95,4.22211
Rob,19.842,500,3,1,0,-77.2659,-238.013,4.03553
David White,1.7,400,46,2,1,-41.783,-195.583,3.70477
Milena Silva,1.033,300,8,2,1,138.727,57.749,2.33218
David White,1.451,200,47,1,0,-6.633,99.783,2.73379
Milena Silva,1.362,400,9,1,1,-191.266,57.66,2.79975
David White,1.277,600,48,3,0,-44.483,296.683,4.30589
David White,1.423,400,49,3,1,25.917,198.317,3.72475
Rob,3.918,200,4,1,1,-95.5672,-31.8689,1.78644
Milena Silva,1.959,600,10,1,0,-60.1009,-294.012,4.34131
David White,1.197,600,50,1,1,58.867,294.167,4.2936
Hiro,2.128,200,13,2,1,-28.4785,95.878,2.70022
David White,1.029,300,51,1,1,-96.6,114.75,2.93549
Milena Silva,2.127,600,11,2,1,-265.736,-139.079,3.27282
Hiro,1.398,200,14,2,1,26.7061,-96.059,2.70751
David White,1.243,300,52,3,1,91.7,118.717,2.98441
Rob,2.144,500,5,2,1,-39.7295,-246.833,4.08935
David White,1.198,200,53,3,1,-61.117,-79.15,2.39963
Hiro,1.301,300,15,3,1,-82.5087,-124.862,3.08482
Milena Silva,1.487,400,12,3,1,119.678,159.978,3.46527
Hiro,1.251,600,16,1,1,-153.99,257.5,4.12563
David White,1.197,500,54,1,0,222.167,114.65,2.93417
Rob,1.308,200,6,2,1,40.8334,90.9619,2.65345
