topic1,topic2,topic_distractor,mean_dist1,mean_dist2,mean_size1,mean_size2,topic_1_score,topic_2_score,topic_dis_score,wordcloud_name,sd_dist1,sd_dist2,sd_size1,sd_size2,num1,num2,time
Sewing,Cat,Car_Parts,177.09617242003682,308.8149928191332,28.225,25.95,4,3,2,literature,72.76762026887207,82.9605492543729,28.225,25.95,40,40,37.875
Fruit,Mammal,Food,171.50897186680197,331.9772213460083,27.025,30.35,5,3,5,fruit,68.0904109530607,76.06347964226477,27.025,30.35,40,40,29.575
Animal,Ways_to_say_Happy,Desserts_and_Sweets,209.1034523808524,340.3543330662974,32.9,26.236842105263158,5,2,2,tv show,105.71845923761816,88.42181195519204,32.9,26.236842105263158,40,38,59.635
Sports,Fish,Kitchen,183.53603866363463,350.7120081882928,29.675,31.375,5,5,3,sea side activity,78.51025490658989,92.97992974714819,29.675,31.375,40,40,491.695
Types_of_Cars_—,Farm,Weights_and_Measures,180.457727148,271.171530661,29.975,27.0,5,4,1,car,91.1611033063,101.647130882,29.975,27.0,40,40,7.445
Boat,Astronomy,Country_Name,169.247978782,334.636588665,30.7,29.972972973,1,3,1,physics,72.0521502622,99.3993436957,30.7,29.972972973,40,37,8.06
Beach,Sports,Musical_Instruments,154.082103616,281.162282312,25.975,27.725,1,4,1,sport,63.5479025752,74.8842665599,25.975,27.725,40,40,12.423
