turker_id,num,sizediff,d,acc,avg_time
A100Y89FZO4J0B,3,1,100,0.33333333333333333333,2.28766667842865
A100Y89FZO4J0B,3,1,200,1.00000000000000000000,1.8289999961853
A100Y89FZO4J0B,3,1,300,0.33333333333333333333,1.60133334000905
A100Y89FZO4J0B,3,1,400,0.66666666666666666667,1.81566671530406
A100Y89FZO4J0B,3,1,500,0.66666666666666666667,1.78366672992706
A100Y89FZO4J0B,3,1,600,1.00000000000000000000,1.72666668891907
A100Y89FZO4J0B,3,2,100,0.66666666666666666667,1.97366664807002
A100Y89FZO4J0B,3,2,200,1.00000000000000000000,1.66500000158946
A100Y89FZO4J0B,3,2,300,0.66666666666666666667,2.81466670831045
A100Y89FZO4J0B,3,2,400,0.66666666666666666667,3.64000002543131
A100Y89FZO4J0B,3,2,500,0.66666666666666666667,2.01066664854685
A100Y89FZO4J0B,3,2,600,0.66666666666666666667,2.55833327770233
A100Y89FZO4J0B,3,3,100,1.00000000000000000000,1.29133335749308
A100Y89FZO4J0B,3,3,200,1.00000000000000000000,1.24733336766561
A100Y89FZO4J0B,3,3,300,0.66666666666666666667,1.52633333206177
A100Y89FZO4J0B,3,3,400,0.66666666666666666667,1.40066663424174
A100Y89FZO4J0B,3,3,500,0.66666666666666666667,1.47533333301544
A100Y89FZO4J0B,3,3,600,0.66666666666666666667,3.84300001462301
A110KENBXU7SUJ,3,1,100,0.33333333333333333333,1.07433331012726
A110KENBXU7SUJ,3,1,200,0.33333333333333333333,1.09300001462301
A110KENBXU7SUJ,3,1,300,0.33333333333333333333,1.02766666809718
A110KENBXU7SUJ,3,1,400,0.66666666666666666667,1.19299999872843
A110KENBXU7SUJ,3,1,500,0.66666666666666666667,1.16533333063126
A110KENBXU7SUJ,3,1,600,0.33333333333333333333,2.99999996026357
A110KENBXU7SUJ,3,2,100,1.00000000000000000000,1.03733328978221
A110KENBXU7SUJ,3,2,200,0.66666666666666666667,0.914666672547658
A110KENBXU7SUJ,3,2,300,0.33333333333333333333,0.987999975681305
A110KENBXU7SUJ,3,2,400,1.00000000000000000000,1.20466669400533
A110KENBXU7SUJ,3,2,500,0.33333333333333333333,1.09333336353302
A110KENBXU7SUJ,3,2,600,0.33333333333333333333,1.25400002797445
A110KENBXU7SUJ,3,3,100,0.66666666666666666667,1.18799996376038
A110KENBXU7SUJ,3,3,200,0.66666666666666666667,0.903333326180776
A110KENBXU7SUJ,3,3,300,1.00000000000000000000,1.24533331394196
A110KENBXU7SUJ,3,3,400,0.66666666666666666667,1.23866665363312
A110KENBXU7SUJ,3,3,500,0.66666666666666666667,1.26966667175293
A110KENBXU7SUJ,3,3,600,0.33333333333333333333,1.49299999078115
A11S8IAAVDXCUS,3,1,100,1.00000000000000000000,1.10199997822444
A11S8IAAVDXCUS,3,1,200,1.00000000000000000000,1.44233334064484
A11S8IAAVDXCUS,3,1,300,1.00000000000000000000,1.50033330917358
A11S8IAAVDXCUS,3,1,400,0.00000000000000000000,1.42933332920074
A11S8IAAVDXCUS,3,1,500,1.00000000000000000000,1.88999998569489
A11S8IAAVDXCUS,3,1,600,0.33333333333333333333,1.68833339214325
A11S8IAAVDXCUS,3,2,100,0.66666666666666666667,1.05233335494995
A11S8IAAVDXCUS,3,2,200,1.00000000000000000000,1.04066667954127
A11S8IAAVDXCUS,3,2,300,1.00000000000000000000,1.10666664441427
A11S8IAAVDXCUS,3,2,400,0.66666666666666666667,1.65233329931895
A11S8IAAVDXCUS,3,2,500,0.66666666666666666667,1.27099998792013
A11S8IAAVDXCUS,3,2,600,0.66666666666666666667,1.48266665140788
A11S8IAAVDXCUS,3,3,100,0.66666666666666666667,1.77000000079473
A11S8IAAVDXCUS,3,3,200,0.66666666666666666667,1.54866669575373
A11S8IAAVDXCUS,3,3,300,1.00000000000000000000,1.08466668923696
A11S8IAAVDXCUS,3,3,400,1.00000000000000000000,1.14033337434133
A11S8IAAVDXCUS,3,3,500,1.00000000000000000000,1.14899996916453
A11S8IAAVDXCUS,3,3,600,1.00000000000000000000,1.29266663392385
A18G2CLYSTENK,3,1,100,1.00000000000000000000,1.38733335336049
A18G2CLYSTENK,3,1,200,1.00000000000000000000,1.17866667111715
A18G2CLYSTENK,3,1,300,0.66666666666666666667,1.55099999904633
A18G2CLYSTENK,3,1,400,0.66666666666666666667,1.54000000158946
A18G2CLYSTENK,3,1,500,0.66666666666666666667,1.50066669782003
A18G2CLYSTENK,3,1,600,0.33333333333333333333,1.51233335336049
A18G2CLYSTENK,3,2,100,0.66666666666666666667,1.05633334318797
A18G2CLYSTENK,3,2,200,1.00000000000000000000,1.17233331998189
A18G2CLYSTENK,3,2,300,0.66666666666666666667,1.43099999427795
A18G2CLYSTENK,3,2,400,1.00000000000000000000,1.64433336257935
A18G2CLYSTENK,3,2,500,0.66666666666666666667,1.52766664822896
A18G2CLYSTENK,3,2,600,0.33333333333333333333,1.52566667397817
A18G2CLYSTENK,3,3,100,0.66666666666666666667,1.07133336861928
A18G2CLYSTENK,3,3,200,1.00000000000000000000,1.21900002161662
A18G2CLYSTENK,3,3,300,0.66666666666666666667,1.33133331934611
A18G2CLYSTENK,3,3,400,0.33333333333333333333,2.17366663614909
A18G2CLYSTENK,3,3,500,0.66666666666666666667,1.51766665776571
A18G2CLYSTENK,3,3,600,0.66666666666666666667,1.4810000260671
A20NITCOBY4775,3,1,100,0.66666666666666666667,2.84233335653941
A20NITCOBY4775,3,1,200,0.66666666666666666667,2.88133331139882
A20NITCOBY4775,3,1,300,0.66666666666666666667,1.81600002447764
A20NITCOBY4775,3,1,400,1.00000000000000000000,3.69666655858358
A20NITCOBY4775,4,1,500,0.50000000000000000000,3.24700000882149
A20NITCOBY4775,4,1,600,0.25000000000000000000,3.64825004339218
A20NITCOBY4775,3,2,100,0.00000000000000000000,1.89633333683014
A20NITCOBY4775,3,2,200,0.66666666666666666667,1.79133335749308
A20NITCOBY4775,3,2,300,1.00000000000000000000,2.15000001589457
A20NITCOBY4775,3,2,400,0.66666666666666666667,4.17933328946431
A20NITCOBY4775,3,2,500,0.66666666666666666667,5.39300012588501
A20NITCOBY4775,3,2,600,0.33333333333333333333,3.03633336226145
A20NITCOBY4775,3,3,100,0.66666666666666666667,2.51200004418691
A20NITCOBY4775,3,3,200,1.00000000000000000000,1.7033333381017
A20NITCOBY4775,4,3,300,0.75000000000000000000,2.45675003528595
A20NITCOBY4775,3,3,400,1.00000000000000000000,2.1949999332428
A20NITCOBY4775,3,3,500,0.33333333333333333333,4.67766682306925
A20NITCOBY4775,3,3,600,1.00000000000000000000,2.9253333012263
A256FHXGSY0E5D,3,1,100,0.33333333333333333333,1.02299996217092
A256FHXGSY0E5D,3,1,200,1.00000000000000000000,1.16999995708466
A256FHXGSY0E5D,3,1,300,1.00000000000000000000,1.11766666173935
A256FHXGSY0E5D,3,1,400,0.66666666666666666667,1.17800001303355
A256FHXGSY0E5D,3,1,500,0.66666666666666666667,1.24666666984558
A256FHXGSY0E5D,3,1,600,0.66666666666666666667,1.48933331171672
A256FHXGSY0E5D,3,2,100,0.66666666666666666667,1.17833330233892
A256FHXGSY0E5D,3,2,200,1.00000000000000000000,1.11233333746592
A256FHXGSY0E5D,3,2,300,0.66666666666666666667,1.15300001700719
A256FHXGSY0E5D,3,2,400,1.00000000000000000000,1.20099997520447
A256FHXGSY0E5D,3,2,500,1.00000000000000000000,1.11566666762034
A256FHXGSY0E5D,3,2,600,0.66666666666666666667,1.28900003433228
A256FHXGSY0E5D,3,3,100,0.66666666666666666667,0.979666650295258
A256FHXGSY0E5D,3,3,200,1.00000000000000000000,1.00500001509984
A256FHXGSY0E5D,3,3,300,1.00000000000000000000,1.07266664505005
A256FHXGSY0E5D,3,3,400,1.00000000000000000000,1.10600000619888
A256FHXGSY0E5D,3,3,500,0.66666666666666666667,1.26633334159851
A256FHXGSY0E5D,3,3,600,1.00000000000000000000,1.10099999109904
A2BW6WD7LZ9EGV,3,1,100,0.66666666666666666667,1.07499996821086
A2BW6WD7LZ9EGV,3,1,200,0.66666666666666666667,1.32266664505005
A2BW6WD7LZ9EGV,3,1,300,0.66666666666666666667,1.40066667397817
A2BW6WD7LZ9EGV,3,1,400,0.00000000000000000000,1.75266667207082
A2BW6WD7LZ9EGV,3,1,500,0.00000000000000000000,2.24766667683919
A2BW6WD7LZ9EGV,3,1,600,0.33333333333333333333,1.49166667461395
A2BW6WD7LZ9EGV,3,2,100,1.00000000000000000000,1.33566665649414
A2BW6WD7LZ9EGV,3,2,200,1.00000000000000000000,1.35466667016347
A2BW6WD7LZ9EGV,3,2,300,0.33333333333333333333,1.59999998410543
A2BW6WD7LZ9EGV,3,2,400,0.33333333333333333333,1.50033330917358
A2BW6WD7LZ9EGV,3,2,500,1.00000000000000000000,1.82166663805644
A2BW6WD7LZ9EGV,3,2,600,1.00000000000000000000,1.41333329677582
A2BW6WD7LZ9EGV,3,3,100,1.00000000000000000000,1.16299998760223
A2BW6WD7LZ9EGV,3,3,200,1.00000000000000000000,1.36000003417333
A2BW6WD7LZ9EGV,3,3,300,1.00000000000000000000,1.49766667683919
A2BW6WD7LZ9EGV,3,3,400,0.66666666666666666667,1.72300000985463
A2BW6WD7LZ9EGV,3,3,500,0.66666666666666666667,1.41800002257029
A2BW6WD7LZ9EGV,3,3,600,1.00000000000000000000,1.47900001207987
A2EI075XZT9Y2S,3,1,100,1.00000000000000000000,1.94166670242945
A2EI075XZT9Y2S,3,1,200,1.00000000000000000000,1.21966663996379
A2EI075XZT9Y2S,3,1,300,1.00000000000000000000,1.10733330249786
A2EI075XZT9Y2S,3,1,400,0.00000000000000000000,1.85566663742065
A2EI075XZT9Y2S,3,1,500,1.00000000000000000000,1.33366668224335
A2EI075XZT9Y2S,3,1,600,0.33333333333333333333,1.69833334287008
A2EI075XZT9Y2S,3,2,100,1.00000000000000000000,0.937666674455007
A2EI075XZT9Y2S,3,2,200,0.66666666666666666667,1.16033333539963
A2EI075XZT9Y2S,3,2,300,1.00000000000000000000,1.23166664441427
A2EI075XZT9Y2S,3,2,400,1.00000000000000000000,1.17599999904633
A2EI075XZT9Y2S,3,2,500,0.66666666666666666667,1.46866663297017
A2EI075XZT9Y2S,3,2,600,0.33333333333333333333,1.4743332862854
A2EI075XZT9Y2S,3,3,100,1.00000000000000000000,1.08700001239777
A2EI075XZT9Y2S,3,3,200,1.00000000000000000000,1.04366668065389
A2EI075XZT9Y2S,3,3,300,1.00000000000000000000,1.39299996693929
A2EI075XZT9Y2S,3,3,400,1.00000000000000000000,1.73733329772949
A2EI075XZT9Y2S,3,3,500,1.00000000000000000000,1.34966667493184
A2EI075XZT9Y2S,3,3,600,0.66666666666666666667,2.35833330949148
